iter	Passed	Remaining
195	649	2663
196	652	2657
197	655	2653
198	657	2648
199	660	2641
200	663	2636
201	666	2634
202	669	2630
203	672	2624
204	675	2618
205	678	2613
206	680	2607
207	683	2602
208	686	2597
209	688	2591
210	691	2585
211	694	2580
212	697	2577
213	700	2572
214	703	2567
215	705	2561
216	708	2555
217	711	2550
218	713	2545
219	716	2538
220	718	2533
221	721	2526
222	723	2519
223	725	2512
224	727	2504
225	729	2498
226	732	2494
227	734	2488
228	736	2481
229	739	2474
230	741	2468
231	743	2461
232	746	2457
233	748	2451
234	751	2444
235	753	2438
236	755	2432
237	757	2425
238	759	2419
239	762	2414
240	764	2408
241	766	2401
242	768	2395
243	770	2388
244	773	2382
245	775	2376
246	778	2372
247	781	2368
248	783	2363
249	786	2358
250	789	2354
251	791	2349
252	793	2344
253	797	2341
254	799	2336
255	802	2332
256	804	2327
257	807	2321
258	809	2315
259	812	2311
260	814	2305
261	816	2299
262	818	2293
263	820	2287
264	822	2282
265	824	2276
266	827	2272
267	830	2267
268	832	2262
269	834	2257
270	837	2252
271	839	2246
272	841	2240
273	844	2236
274	846	2231
275	848	2226
276	851	2221
277	853	2216
278	855	2210
279	858	2207
280	861	2204
281	863	2199
282	866	2194
283	868	2189
284	870	2185
285	873	2180
286	877	2180
287	880	2175
288	883	2172
289	886	2169
290	888	2165
291	892	2164
292	895	2161
293	898	2156
294	900	2152
295	903	2147
296	905	2142
297	907	2138
298	909	2133
299	911	2127
300	914	2123
301	916	2118
302	918	2113
303	920	2108
304	922	2102
305	925	2099
306	927	2094
307	930	2090
308	932	2086
309	935	2081
310	937	2076
311	940	2073
312	942	2068
313	944	2064
314	947	2059
315	949	2054
316	951	2050
317	953	2045
318	956	2041
319	958	2036
320	960	2032
321	962	2027
322	965	2022
323	967	2017
324	969	2013
325	971	2008
326	974	2004
327	976	2000
328	978	1995
329	980	1991
330	983	1986
331	985	1982
332	987	1977
333	989	1973
334	992	1969
335	994	1964
336	996	1960
337	998	1956
338	1000	1951
339	1002	1946
340	1005	1943
341	1007	1939
342	1009	1934
343	1011	1929
344	1013	1924
345	1015	1920
346	1018	1915
347	1020	1911
348	1022	1907
349	1025	1903
350	1027	1899
351	1029	1894
352	1031	1890
353	1033	1886
354	1035	1882
355	1038	1878
356	1040	1874
357	1042	1870
358	1045	1865
359	1047	1861
360	1049	1857
361	1051	1852
362	1053	1848
363	1055	1844
364	1057	1839
365	1059	1835
366	1061	1831
367	1064	1827
368	1066	1823
369	1069	1820
370	1071	1817
371	1074	1813
372	1076	1809
373	1079	1806
374	1081	1803
375	1084	1799
376	1087	1796
377	1089	1792
378	1091	1788
379	1094	1785
380	1097	1782
381	1099	1778
382	1101	1775
383	1104	1771
384	1106	1767
385	1108	1763
386	1111	1760
387	1113	1756
388	1115	1752
389	1117	1747
390	1120	1744
391	1122	1741
392	1125	1737
393	1127	1734
394	1130	1731
395	1132	1727
396	1135	1724
397	1138	1722
398	1140	1718
399	1143	1715
400	1145	1711
401	1147	1707
402	1150	1703
403	1152	1700
404	1155	1697
405	1158	1694
406	1160	1691
407	1163	1688
408	1166	1685
409	1168	1681
410	1171	1678
411	1174	1675
412	1176	1672
413	1179	1669
414	1182	1666
415	1184	1663
416	1187	1660
417	1190	1657
418	1192	1653
419	1195	1650
420	1198	1648
421	1201	1646
422	1204	1643
423	1207	1640
424	1210	1637
425	1213	1634
426	1215	1631
427	1218	1628
428	1221	1625
429	1223	1622
430	1226	1619
431	1230	1618
432	1234	1616
433	1240	1617
434	1245	1617
435	1251	1619
436	1256	1618
437	1262	1620
438	1267	1619
439	1271	1617
440	1275	1616
441	1281	1617
442	1285	1616
443	1289	1614
444	1292	1611
445	1300	1615
446	1305	1614
447	1308	1611
448	1311	1609
449	1315	1607
450	1318	1605
451	1322	1602
452	1325	1600
453	1328	1597
454	1331	1594
455	1334	1591
456	1337	1589
457	1340	1586
458	1344	1584
459	1347	1581
460	1350	1578
461	1353	1576
462	1356	1573
463	1360	1571
464	1363	1568
465	1366	1566
466	1369	1563
467	1372	1560
468	1375	1557
469	1379	1555
470	1382	1552
471	1385	1549
472	1388	1546
473	1391	1544
474	1395	1542
475	1398	1539
476	1402	1537
477	1405	1534
478	1408	1532
479	1411	1529
480	1414	1526
481	1417	1523
482	1420	1520
483	1423	1517
484	1426	1514
485	1429	1511
486	1431	1508
487	1434	1505
488	1437	1502
489	1440	1499
490	1443	1496
491	1445	1492
492	1448	1489
493	1450	1485
494	1453	1482
495	1455	1478
496	1458	1475
497	1460	1472
498	1463	1469
499	1465	1465
500	1468	1462
501	1470	1458
502	1472	1455
503	1475	1451
504	1478	1448
505	1480	1445
506	1483	1442
507	1486	1439
508	1489	1437
509	1492	1433
510	1494	1430
511	1497	1427
512	1500	1424
513	1502	1421
514	1506	1418
515	1509	1415
516	1512	1412
517	1515	1409
518	1518	1406
519	1520	1403
520	1523	1400
521	1525	1397
522	1528	1393
523	1531	1390
524	1533	1387
525	1536	1384
526	1539	1381
527	1542	1378
528	1545	1376
529	1548	1372
530	1550	1369
531	1553	1366
532	1556	1363
533	1559	1360
534	1561	1357
535	1564	1353
536	1566	1350
537	1568	1346
538	1570	1343
539	1573	1340
540	1576	1337
541	1578	1334
542	1581	1330
543	1584	1327
544	1587	1325
545	1589	1321
546	1592	1318
547	1594	1315
548	1596	1311
549	1599	1308
550	1602	1305
551	1605	1303
552	1608	1300
553	1611	1297
554	1613	1293
555	1616	1290
556	1619	1287
557	1621	1284
558	1625	1282
559	1628	1279
560	1631	1276
561	1633	1273
562	1636	1269
563	1638	1266
564	1640	1263
565	1643	1259
566	1645	1256
567	1647	1252
568	1649	1249
569	1652	1246
570	1654	1242
571	1656	1239
572	1658	1236
573	1660	1232
574	1662	1229
575	1664	1225
576	1667	1222
577	1669	1218
578	1671	1215
579	1673	1211
580	1675	1208
581	1677	1204
582	1679	1201
583	1682	1198
584	1684	1195
585	1686	1191
586	1689	1188
587	1691	1184
588	1693	1181
589	1695	1178
590	1697	1174
591	1699	1171
592	1701	1168
593	1704	1164
594	1706	1161
595	1708	1158
596	1710	1154
597	1713	1151
598	1715	1148
599	1717	1145
600	1720	1141
601	1722	1138
602	1724	1135
603	1726	1131
604	1728	1128
605	1730	1125
606	1733	1122
607	1735	1119
608	1737	1115
609	1739	1112
610	1742	1109
611	1744	1105
612	1746	1102
613	1748	1099
614	1750	1096
615	1753	1092
616	1755	1089
617	1757	1086
618	1759	1083
619	1761	1079
620	1764	1076
621	1766	1073
622	1768	1070
623	1770	1066
624	1773	1063
625	1775	1060
626	1777	1057
627	1779	1053
628	1781	1050
629	1783	1047
630	1786	1044
631	1788	1041
632	1791	1038
633	1793	1035
634	1796	1032
635	1798	1029
636	1800	1026
637	1803	1023
638	1805	1019
639	1808	1017
640	1810	1014
641	1813	1011
642	1816	1008
643	1818	1005
644	1820	1001
645	1822	998
646	1825	995
647	1827	992
648	1830	990
649	1833	987
650	1835	984
651	1837	980
652	1840	977
653	1842	974
654	1845	971
655	1848	969
656	1850	966
657	1853	963
658	1855	960
659	1858	957
660	1860	954
661	1864	951
662	1866	948
663	1870	946
664	1872	943
665	1875	940
666	1878	937
667	1881	935
668	1883	932
669	1886	929
670	1889	926
671	1891	923
672	1894	920
673	1897	917
674	1899	914
675	1902	911
676	1904	908
677	1906	905
678	1909	902
679	1912	899
680	1915	897
681	1917	894
682	1920	891
683	1924	889
684	1928	886
685	1931	884
686	1934	881
687	1936	878
688	1939	875
689	1942	872
690	1945	869
691	1948	867
692	1950	864
693	1952	861
694	1955	858
695	1958	855
696	1961	852
697	1964	849
698	1967	847
699	1969	844
700	1972	841
701	1975	838
702	1978	835
703	1980	832
704	1983	829
705	1985	826
706	1988	824
707	1991	821
708	1994	818
709	1997	815
710	1999	812
711	2002	809
712	2004	807
713	2007	804
714	2010	801
715	2012	798
716	2014	795
717	2016	792
718	2018	789
719	2021	785
720	2024	783
721	2027	780
722	2029	777
723	2031	774
724	2034	771
725	2036	768
726	2039	765
727	2041	762
728	2044	759
729	2046	756
730	2049	754
731	2051	751
732	2054	748
733	2057	745
734	2061	743
735	2063	740
736	2066	737
737	2069	734
738	2071	731
739	2074	728
740	2076	725
741	2078	722
742	2080	719
743	2083	716
744	2085	713
745	2089	711
746	2092	708
747	2094	705
748	2097	702
749	2099	699
750	2102	697
751	2105	694
752	2108	691
753	2110	688
754	2112	685
755	2115	682
756	2117	679
757	2121	677
758	2124	674
759	2127	671
760	2130	668
761	2132	666
762	2135	663
763	2138	660
764	2140	657
765	2143	654
766	2146	651
767	2148	648
768	2150	646
769	2154	643
770	2156	640
771	2159	637
772	2161	634
773	2163	631
774	2166	628
775	2169	626
776	2171	623
777	2174	620
778	2176	617
779	2179	614
780	2181	611
781	2183	608
782	2185	605
783	2188	602
784	2191	600
785	2194	597
786	2196	594
787	2198	591
788	2201	588
789	2203	585
790	2205	582
791	2207	579
792	2210	577
793	2213	574
794	2216	571
795	2218	568
796	2222	566
797	2224	563
798	2227	560
799	2229	557
800	2232	554
801	2235	551
802	2237	548
803	2240	546
804	2242	543
805	2245	540
806	2247	537
807	2249	534
808	2251	531
809	2254	528
810	2256	525
811	2259	523
812	2261	520
813	2265	517
814	2268	514
815	2271	512
816	2273	509
817	2276	506
818	2279	503
819	2281	500
820	2284	498
821	2287	495
822	2289	492
823	2292	489
824	2294	486
825	2297	484
826	2300	481
827	2302	478
828	2305	475
829	2307	472
830	2309	469
831	2311	466
832	2314	463
833	2316	461
834	2319	458
835	2321	455
836	2324	452
837	2326	449
838	2329	446
839	2331	444
840	2334	441
841	2336	438
842	2338	435
843	2340	432
844	2342	429
845	2344	426
846	2347	423
847	2349	421
848	2351	418
849	2354	415
850	2356	412
851	2359	409
852	2361	407
853	2364	404
854	2366	401
855	2368	398
856	2371	395
857	2373	392
858	2376	390
859	2378	387
860	2381	384
861	2383	381
862	2386	378
863	2388	376
864	2391	373
865	2394	370
866	2396	367
867	2399	364
868	2401	362
869	2403	359
870	2405	356
871	2407	353
872	2410	350
873	2412	347
874	2414	344
875	2416	342
876	2418	339
877	2420	336
878	2423	333
879	2425	330
880	2427	327
881	2429	325
882	2431	322
883	2434	319
884	2436	316
885	2438	313
886	2440	310
887	2442	308
888	2444	305
889	2446	302
890	2449	299
891	2452	296
892	2454	294
893	2457	291
894	2459	288
895	2461	285
896	2464	282
897	2466	280
898	2468	277
899	2470	274
900	2472	271
901	2475	268
902	2477	266
903	2479	263
904	2481	260
905	2484	257
906	2487	255
907	2489	252
908	2492	249
909	2494	246
910	2496	243
911	2499	241
912	2501	238
913	2504	235
914	2506	232
915	2509	230
916	2512	227
917	2516	224
918	2518	222
919	2521	219
920	2524	216
921	2526	213
922	2529	211
923	2531	208
924	2534	205
925	2536	202
926	2540	200
927	2542	197
928	2544	194
929	2546	191
930	2549	188
931	2551	186
932	2555	183
933	2558	180
934	2560	178
935	2563	175
936	2565	172
937	2568	169
938	2571	167
939	2573	164
940	2576	161
941	2579	158
942	2581	156
943	2586	153
944	2589	150
945	2591	147
946	2594	145
947	2597	142
948	2602	139
949	2605	137
950	2607	134
951	2609	131
952	2612	128
953	2615	126
954	2618	123
955	2621	120
956	2624	117
957	2626	115
958	2628	112
959	2631	109
960	2633	106
961	2636	104
962	2638	101
963	2641	98
964	2643	95
965	2645	93
966	2648	90
967	2650	87
968	2652	84
969	2655	82
970	2657	79
971	2659	76
972	2661	73
973	2663	71
974	2666	68
975	2669	65
976	2671	62
977	2673	60
978	2675	57
979	2677	54
980	2679	51
981	2681	49
982	2683	46
983	2685	43
984	2687	40
985	2689	38
986	2691	35
987	2694	32
988	2696	29
989	2698	27
990	2700	24
991	2703	21
992	2705	19
993	2707	16
994	2709	13
995	2711	10
996	2713	8
997	2715	5
998	2717	2
999	2719	0
