iter	RMSE
204	0.4687762255
205	0.4684550414
206	0.4681309927
207	0.4676578487
208	0.4673331727
209	0.4671061771
210	0.4668168809
211	0.4664595616
212	0.466159994
213	0.4658104238
214	0.4651846427
215	0.4646920562
216	0.4644166635
217	0.4640515483
218	0.4636274173
219	0.4628595766
220	0.4625886687
221	0.4623226084
222	0.4618905512
223	0.4615472587
224	0.4612620519
225	0.4606187396
226	0.4601968854
227	0.4598553978
228	0.4594952005
229	0.4592106731
230	0.4588581396
231	0.4584336069
232	0.4580865763
233	0.4577875238
234	0.4575648091
235	0.4571267105
236	0.4566847057
237	0.4563690536
238	0.4561373827
239	0.4557997471
240	0.4554790247
241	0.4552140658
242	0.4548120937
243	0.4544408806
244	0.4540248828
245	0.4537179042
246	0.4534661517
247	0.4531586665
248	0.4527771959
249	0.4524726892
250	0.4521979766
251	0.4518875359
252	0.4516043382
253	0.451228685
254	0.4509305029
255	0.4506455542
256	0.4502074192
257	0.44990044
258	0.4495832407
259	0.44912458
260	0.4487574903
261	0.4484202337
262	0.448145113
263	0.447772837
264	0.4475135998
265	0.447311874
266	0.4470026592
267	0.4468561168
268	0.4465203658
269	0.4462175184
270	0.4459467967
271	0.4456055758
272	0.445298919
273	0.4449816391
274	0.4445298682
275	0.4442180368
276	0.4439676018
277	0.4433387924
278	0.4431234804
279	0.4429260921
280	0.4426331736
281	0.4423432209
282	0.4420861035
283	0.4418869594
284	0.4417352508
285	0.4415111229
286	0.4411499428
287	0.4409442814
288	0.4407889356
289	0.4405481114
290	0.4403127052
291	0.4400111411
292	0.4394466565
293	0.4392530822
294	0.439048656
295	0.4388629631
296	0.4383854097
297	0.4379582629
298	0.437664716
299	0.4374024715
300	0.4368148647
301	0.4365844196
302	0.4362921938
303	0.4360835823
304	0.4358237731
305	0.4355550028
306	0.4353533028
307	0.4351101012
308	0.4345688309
309	0.4343570505
310	0.4340982089
311	0.4335930012
312	0.4333588118
313	0.4331453891
314	0.4328796261
315	0.4326925327
316	0.4324650306
317	0.43217815
318	0.4320176589
319	0.4318478992
320	0.431484948
321	0.4311227948
322	0.4308585879
323	0.4306995048
324	0.4304668359
325	0.4300299442
326	0.4297836109
327	0.4295339598
328	0.4292275719
329	0.4289125505
330	0.4286157947
331	0.4282441865
332	0.428079236
333	0.4279039629
334	0.427671358
335	0.4273722828
336	0.4271083204
337	0.4268984127
338	0.4266030708
339	0.4263880252
340	0.4261873242
341	0.4259030638
342	0.4257214816
343	0.4254276035
344	0.4251309625
345	0.4249017812
346	0.4246577041
347	0.4242458563
348	0.4240000189
349	0.4237511496
350	0.4235479945
351	0.4232876884
352	0.4228118639
353	0.4225701309
354	0.4223792703
355	0.4221977108
356	0.4219831336
357	0.4217352604
358	0.4215347485
359	0.4213318602
360	0.421113331
361	0.420935373
362	0.4207554734
363	0.4205032719
364	0.4203064138
365	0.4201464188
366	0.4199529816
367	0.4197980067
368	0.4195458735
369	0.4192943136
370	0.4191749891
371	0.4187747011
372	0.4185798739
373	0.4183542919
374	0.4181578853
375	0.4179531283
376	0.4177880684
377	0.4176176494
378	0.4174049936
379	0.417242935
380	0.4170068714
381	0.4168431981
382	0.4166615943
383	0.4164172493
384	0.4162097087
385	0.4159674502
386	0.4157553122
387	0.4154217043
388	0.4152426343
389	0.4150187743
390	0.4148702446
391	0.4147850451
392	0.4146415084
393	0.4144957224
394	0.414342881
395	0.4140758592
396	0.4136964737
397	0.413552421
398	0.4133911875
399	0.4131335613
400	0.4129198844
401	0.4127280355
402	0.4124896404
403	0.4123444866
404	0.4121393855
405	0.411859576
406	0.4116907264
407	0.4114961153
408	0.4113464606
409	0.4111527241
410	0.4109798339
411	0.4108894599
412	0.4106245243
413	0.4104801161
414	0.4101698173
415	0.4099091626
416	0.4097233116
417	0.4096101554
418	0.4094349518
419	0.4092309728
420	0.4089423786
421	0.4088757105
422	0.4086351813
423	0.4084457405
424	0.4082768491
425	0.4080089758
426	0.4078292205
427	0.407650193
428	0.4074752212
429	0.407344647
430	0.4072311525
431	0.4071263806
432	0.4069405151
433	0.4068084678
434	0.4067323284
435	0.4065860145
436	0.406395365
437	0.406236974
438	0.4061527467
439	0.4059881333
440	0.4057761401
441	0.4056278645
442	0.4054589361
443	0.4052596424
444	0.4051341498
445	0.4049527928
446	0.4047988727
447	0.4044977481
448	0.4043483519
449	0.4042129598
450	0.4040022183
451	0.4038755029
452	0.4037090277
453	0.4035514274
454	0.4032799174
455	0.403126326
456	0.4029837545
457	0.4028597505
458	0.402667395
459	0.4026243875
460	0.4025153867
461	0.4023858091
462	0.402154391
463	0.401970241
464	0.4018132572
465	0.4016258041
466	0.4014554712
467	0.4013250767
468	0.4011649955
469	0.4009875894
470	0.4008292578
471	0.4007455886
472	0.4006098043
473	0.4004538335
474	0.4003118376
475	0.4001349803
476	0.3999154541
477	0.3997830379
478	0.3995874717
479	0.3994551222
480	0.3992494213
481	0.3991153331
482	0.3990065386
483	0.3988082163
484	0.3987241442
485	0.398502435
486	0.3982506148
487	0.3981388927
488	0.3980096681
489	0.3977423957
490	0.3975715613
491	0.3974204529
492	0.3972888333
493	0.3971891057
494	0.397026392
495	0.3968595953
496	0.3966643808
497	0.3964781577
498	0.3963317788
499	0.3962115541
500	0.3960420618
501	0.3958841805
502	0.395744273
503	0.3956430782
504	0.3955331486
505	0.3953349577
506	0.3951615007
507	0.3949290597
508	0.3947785868
509	0.3946346226
510	0.3944851861
511	0.3943298508
512	0.3942480182
513	0.3941190022
514	0.393918057
515	0.3937652099
516	0.3935561069
517	0.3933069796
518	0.3930819315
519	0.3929591371
520	0.3928090043
521	0.392635639
522	0.392419725
523	0.3922335232
524	0.3921165104
525	0.3919500335
526	0.3917348183
527	0.3915678803
528	0.3914371684
529	0.3913364606
530	0.3911837707
531	0.3910241543
532	0.3908376384
533	0.3907273328
534	0.3905775902
535	0.3904394655
536	0.3903372613
537	0.3901557904
538	0.3900317075
539	0.3897939596
540	0.3896335997
541	0.3895600735
542	0.3894055527
543	0.3892775369
544	0.3891087879
545	0.3889196064
546	0.3887845487
547	0.3886998692
548	0.3885703472
549	0.3883597317
550	0.388242857
551	0.3881454786
552	0.3879748128
553	0.3877872947
554	0.3876471136
555	0.3875100417
556	0.3873590514
557	0.3872155224
558	0.3870435145
559	0.3868754014
560	0.3867800235
561	0.3866146226
562	0.386418987
563	0.3863339295
564	0.386043134
565	0.3858948721
566	0.3857544459
567	0.385551014
568	0.38544711
569	0.3853156623
570	0.3852159829
571	0.3850959274
572	0.3849117083
573	0.3847614847
574	0.3846279386
575	0.3843999294
576	0.3842907921
577	0.3842062122
578	0.3840208958
579	0.3838668742
580	0.383723973
581	0.3835128663
582	0.3834267399
583	0.3833068445
584	0.383220793
585	0.3830914171
586	0.3829497614
587	0.3827934944
588	0.3825758504
589	0.3824073
590	0.3823217965
591	0.3821424766
592	0.3819615089
593	0.3818553165
594	0.3817745393
595	0.381580384
596	0.3814613357
597	0.3813569412
598	0.3812750925
599	0.3810649938
600	0.3808952412
601	0.3807675638
602	0.3805322273
603	0.3803916243
604	0.3802343194
605	0.3801047283
606	0.3799051195
607	0.3796897415
608	0.379538908
609	0.379402704
610	0.3793440788
611	0.3792508252
612	0.3791530369
613	0.3790187927
614	0.3788580973
615	0.3786942127
616	0.3785618504
617	0.3784601749
618	0.378324771
619	0.3782107001
620	0.3780974127
621	0.3779717791
622	0.3778249469
623	0.3777172689
624	0.3775732628
625	0.3774232231
626	0.3773016671
627	0.3772055132
628	0.3770225414
629	0.3769037278
630	0.3768558509
631	0.3767818765
632	0.3766206107
633	0.3764209031
634	0.3762756099
635	0.3761789275
636	0.3761135949
637	0.3759485418
638	0.3757997302
639	0.3756699024
640	0.3755503185
641	0.375461307
642	0.3753357617
643	0.3752014584
644	0.3751142802
645	0.3749969552
646	0.3748743169
647	0.3747111973
648	0.3745410868
649	0.3743742132
650	0.3742155111
651	0.3740704248
652	0.3739617765
653	0.3737755706
654	0.3736711531
655	0.3735098538
656	0.3733991917
657	0.3732910824
658	0.373153785
659	0.3730212839
660	0.3728865001
661	0.3726691009
662	0.3725635325
663	0.3724393138
664	0.3723549586
665	0.3722436676
666	0.3721716456
667	0.3720674996
668	0.3718362243
669	0.3717639024
670	0.3715805652
671	0.3714389909
672	0.3713879486
673	0.3712414884
674	0.3710855634
675	0.3709387933
676	0.3708345658
677	0.3707399906
678	0.3705898174
679	0.3704635703
680	0.3703240858
681	0.3701799653
682	0.3700259663
683	0.3699158056
684	0.369810637
685	0.3696631509
686	0.3695528167
687	0.3694515945
688	0.369274141
689	0.369191137
690	0.3691089637
691	0.3688800191
692	0.3687778933
693	0.3686168868
694	0.3683750591
695	0.368254679
696	0.3681242023
697	0.3680226884
698	0.3679110512
699	0.3678208467
700	0.3676697684
701	0.3675422146
702	0.3673644643
703	0.3672648752
704	0.3671244215
705	0.3670047548
706	0.3669382702
707	0.3667912998
708	0.3666918186
709	0.3665709458
710	0.366478955
711	0.3663209934
712	0.3661741999
713	0.366048215
714	0.3659369775
715	0.3658581674
716	0.3657475941
717	0.3655944494
718	0.365410402
719	0.3653249783
720	0.365206284
721	0.3650713691
722	0.3649420298
723	0.3648793174
724	0.3647789447
725	0.3646613384
726	0.3645863216
727	0.3644421747
728	0.3643550739
729	0.3642208363
730	0.3641272624
731	0.3640373635
732	0.3639269115
733	0.3638305202
734	0.3637238476
735	0.3636252585
736	0.3634952544
737	0.3633987615
738	0.3631426352
739	0.363029811
740	0.3629297596
741	0.3628339253
742	0.3627375169
743	0.3626630339
744	0.3625722658
745	0.3625038041
746	0.3624203748
747	0.3623348498
748	0.36215081
749	0.3620341734
750	0.3619338723
751	0.3618437268
752	0.3615523567
753	0.3614883914
754	0.3613983827
755	0.3612978456
756	0.3611829696
757	0.361070853
758	0.3609706787
759	0.3608350789
760	0.3607372888
761	0.3606460134
762	0.360538037
763	0.3604627176
764	0.3603713282
765	0.3602617844
766	0.3601521086
767	0.3600809986
768	0.3599718479
769	0.3599003884
770	0.3597853362
771	0.359692107
772	0.3595727712
773	0.3594543383
774	0.3593382665
775	0.3592291295
776	0.3590760235
777	0.358989452
778	0.3588235872
779	0.3586582412
780	0.3585882622
781	0.3584577645
782	0.3583993271
783	0.3583185323
784	0.3582290806
785	0.3581014841
786	0.35801072
787	0.3579154054
788	0.3577775899
789	0.3576837424
790	0.3575786481
791	0.3575237291
792	0.3573983388
793	0.3573210583
794	0.3572316856
795	0.3571619176
796	0.3570082373
797	0.3569282786
798	0.356872533
799	0.3567086176
800	0.356627992
801	0.3565432572
802	0.356450774
803	0.3563637966
804	0.3562882786
805	0.3560424329
806	0.3559204015
807	0.3558004262
808	0.3556995267
809	0.3556405053
810	0.3555221099
811	0.3553660298
812	0.3552810956
813	0.3551858238
814	0.3550657579
815	0.3549811038
816	0.3548567232
817	0.3547028786
818	0.3546492742
819	0.3545854951
820	0.3544992378
821	0.354394077
822	0.3543110612
823	0.3542551476
824	0.3541325707
825	0.3540349667
826	0.3539410746
827	0.3538179413
828	0.3537165591
829	0.3536341764
830	0.3535334598
831	0.3533987552
832	0.3533219878
833	0.3531113769
834	0.3530626052
835	0.3529341734
836	0.3528530008
837	0.3527251645
838	0.352663624
839	0.3525727403
840	0.3524174019
841	0.352334056
842	0.3522752408
843	0.3521809585
844	0.3520624278
845	0.3518765749
846	0.3517154789
847	0.3516263987
848	0.3515647299
849	0.3514732045
850	0.3513465569
851	0.351255896
852	0.3511918245
853	0.3510473837
854	0.3509098691
855	0.3508152408
856	0.3507179383
857	0.3505669499
858	0.3504631832
859	0.3504068344
860	0.3502770637
861	0.3501106026
862	0.3499859114
863	0.3499009275
864	0.349822115
865	0.3497277449
866	0.3495742351
867	0.3495133088
868	0.3494215592
869	0.3493013684
870	0.3492097465
871	0.3491531345
872	0.349059311
873	0.3489481565
874	0.3488230904
875	0.3487120216
876	0.3486273458
877	0.3485027904
878	0.3484293664
879	0.3483171662
880	0.3481941608
881	0.3480366102
882	0.3479729327
883	0.3478487551
884	0.3477731752
885	0.3476630998
886	0.3475641021
887	0.3474602277
888	0.3473949858
889	0.3472714801
890	0.347189643
891	0.3470653046
892	0.3469959182
893	0.3469155963
894	0.3467433999
895	0.3466626769
896	0.3466085738
897	0.3465326828
898	0.3464497235
899	0.3462314629
900	0.3461477034
901	0.3460514379
902	0.345984085
903	0.3458664409
904	0.3458223789
905	0.3457037646
906	0.345538383
907	0.3453931763
908	0.345289195
909	0.3452043998
910	0.3451401935
911	0.3450531868
912	0.344945551
913	0.3448727448
914	0.3447616947
915	0.3446927909
916	0.3446050613
917	0.3445390157
918	0.3444347633
919	0.3443569032
920	0.3442799842
921	0.3442067273
922	0.3441074238
923	0.3440429602
924	0.3439483649
925	0.3438685829
926	0.3437843401
927	0.3436363903
928	0.3435303867
929	0.3434616874
930	0.3433830675
931	0.3433075482
932	0.3432363587
933	0.3431723161
934	0.3431326141
935	0.3430772105
936	0.3429982001
937	0.342945919
938	0.3429114355
939	0.3427912653
940	0.3426964206
941	0.3426348792
942	0.3425707982
943	0.3424733006
944	0.3423820167
945	0.3423100399
946	0.3422196334
947	0.3421231528
948	0.3420273283
949	0.3419432288
950	0.3418731611
951	0.3418083566
952	0.3417152744
953	0.3416271744
954	0.3415229562
955	0.3414252027
956	0.3413500142
957	0.3412584803
958	0.3411867891
959	0.3410208167
960	0.3409806873
961	0.3408378791
962	0.3407529752
963	0.3406807745
964	0.3405776055
965	0.3404777441
966	0.3403601675
967	0.3402625347
968	0.3401241386
969	0.3400784665
970	0.3399774426
971	0.339891987
972	0.3398419439
973	0.3397160059
974	0.3396340205
975	0.3395750645
976	0.3394859082
977	0.3394234863
978	0.3393746179
979	0.3392965692
980	0.3392575811
981	0.3391096144
982	0.3390109523
983	0.3389270983
984	0.3388013374
985	0.3387115433
986	0.3386169272
987	0.3385308687
988	0.3384294755
989	0.338378775
990	0.3382973502
991	0.3382549913
992	0.3381942537
993	0.3381212936
994	0.3380291258
995	0.3379136866
996	0.3378708619
997	0.3378105948
998	0.3377325962
999	0.3376147158
